names,status,idx,group,country
T-64BV,damaged,1,Tanks,RUS
T-64BV,captured,2,Tanks,RUS
T-64BV,captured,3,Tanks,RUS
T-72A,destroyed,1,Tanks,RUS
T-72A,destroyed,2,Tanks,RUS
T-72A,captured,3,Tanks,RUS
T-72A,captured,4,Tanks,RUS
T-72A,captured,5,Tanks,RUS
T-72A,captured,6,Tanks,RUS
T-72A,captured,7,Tanks,RUS
T-72AV,destroyed,1,Tanks,RUS
T-72AV,destroyed,2,Tanks,RUS
T-72AV,captured,3,Tanks,RUS
T-72B,destroyed,1,Tanks,RUS
T-72B,destroyed,2,Tanks,RUS
T-72B,destroyed,3,Tanks,RUS
T-72B,destroyed,4,Tanks,RUS
T-72B,destroyed,5,Tanks,RUS
T-72B,captured and later destroyed,6,Tanks,RUS
T-72B,destroyed,7,Tanks,RUS
T-72B,destroyed,8,Tanks,RUS
T-72B,damaged,9,Tanks,RUS
T-72B,damaged and abandoned,10,Tanks,RUS
T-72B,abandoned,11,Tanks,RUS
T-72B,abandoned,12,Tanks,RUS
T-72B,abandoned,13,Tanks,RUS
T-72B,abandoned,14,Tanks,RUS
T-72B,abandoned,15,Tanks,RUS
T-72B,damaged and captured,16,Tanks,RUS
T-72B,captured,17,Tanks,RUS
T-72B,captured,18,Tanks,RUS
T-72B,captured,19,Tanks,RUS
T-72B,captured,20,Tanks,RUS
T-72B,captured and stripped,21,Tanks,RUS
T-72B,captured,22,Tanks,RUS
T-72B,captured,23,Tanks,RUS
T-72B,captured,24,Tanks,RUS
T-72B,captured,25,Tanks,RUS
T-72B,captured,26,Tanks,RUS
T-72B,captured,27,Tanks,RUS
T-72B,captured,28,Tanks,RUS
T-72B,captured,29,Tanks,RUS
T-72B,captured,30,Tanks,RUS
T-72B,captured,31,Tanks,RUS
T-72B,captured,32,Tanks,RUS
T-72B,captured,33,Tanks,RUS
T-72B,captured,34,Tanks,RUS
T-72B Obr. 1989,destroyed,1,Tanks,RUS
T-72B Obr. 1989,abandoned,2,Tanks,RUS
T-72B Obr. 1989,abandoned,3,Tanks,RUS
T-72B Obr. 1989,captured,4,Tanks,RUS
T-72B Obr. 1989,captured,5,Tanks,RUS
T-72B3,destroyed,1,Tanks,RUS
T-72B3,destroyed,2,Tanks,RUS
T-72B3,destroyed,3,Tanks,RUS
T-72B3,destroyed,4,Tanks,RUS
T-72B3,destroyed,5,Tanks,RUS
T-72B3,damaged,6,Tanks,RUS
T-72B3,abandoned,7,Tanks,RUS
T-72B3,abandoned,8,Tanks,RUS
T-72B3,abandoned,9,Tanks,RUS
T-72B3,abandoned,10,Tanks,RUS
T-72B3,captured,11,Tanks,RUS
T-72B3,captured,12,Tanks,RUS
T-72B3,captured,13,Tanks,RUS
T-72B3 Obr. 2016,destroyed,1,Tanks,RUS
T-72B3 Obr. 2016,destroyed,2,Tanks,RUS
T-72B3 Obr. 2016,destroyed,3,Tanks,RUS
T-72B3 Obr. 2016,destroyed,4,Tanks,RUS
T-72B3 Obr. 2016,destroyed,5,Tanks,RUS
T-72B3 Obr. 2016,destroyed,6,Tanks,RUS
T-72B3 Obr. 2016,destroyed,7,Tanks,RUS
T-72B3 Obr. 2016,destroyed,8,Tanks,RUS
T-72B3 Obr. 2016,destroyed,9,Tanks,RUS
T-72B3 Obr. 2016,destroyed,10,Tanks,RUS
T-72B3 Obr. 2016,destroyed,11,Tanks,RUS
T-72B3 Obr. 2016,destroyed,12,Tanks,RUS
T-72B3 Obr. 2016,destroyed,13,Tanks,RUS
T-72B3 Obr. 2016,destroyed,14,Tanks,RUS
T-72B3 Obr. 2016,destroyed,15,Tanks,RUS
T-72B3 Obr. 2016,destroyed,16,Tanks,RUS
